stdThresh,profitThresh,window,profit,txcount,
1.5,1.005,30,-0.314471,46,
1.5,1.005,45,-0.323362,46,
1.5,1.005,60,-0.313113,48,
1.5,1.005,75,-0.262052,42,
1.5,1.005,90,-0.279744,36,
1.5,1.005,105,-0.278263,29,
1.5,1.005,120,-0.306623,29,
1.5,1.005,135,-0.248251,21,
1.5,1.005,150,-0.144748,24,
1.5,1.005,165,-0.246459,19,
1.5,1.005,180,-0.268127,25,
1.5,1.005,195,-0.254946,31,
1.5,1.005,210,-0.227596,29,
1.5,1.005,225,-0.0943209,30,
1.5,1.005,240,-0.235353,21,
1.5,1.006,30,-0.311856,42,
1.5,1.006,45,-0.316129,46,
1.5,1.006,60,-0.303788,46,
1.5,1.006,75,-0.247651,38,
1.5,1.006,90,-0.274078,36,
1.5,1.006,105,-0.289198,27,
1.5,1.006,120,-0.302252,31,
1.5,1.006,135,-0.241928,23,
1.5,1.006,150,-0.13509,26,
1.5,1.006,165,-0.244307,17,
1.5,1.006,180,-0.25997,23,
1.5,1.006,195,-0.251734,29,
1.5,1.006,210,-0.219922,29,
1.5,1.006,225,-0.0892438,24,
1.5,1.006,240,-0.230201,19,
1.5,1.007,30,-0.305525,42,
1.5,1.007,45,-0.311504,38,
1.5,1.007,60,-0.298345,42,
1.5,1.007,75,-0.250488,34,
1.5,1.007,90,-0.273263,32,
1.5,1.007,105,-0.289507,27,
1.5,1.007,120,-0.304881,27,
1.5,1.007,135,-0.244281,17,
1.5,1.007,150,-0.136544,22,
1.5,1.007,165,-0.244635,17,
1.5,1.007,180,-0.256418,21,
1.5,1.007,195,-0.246008,27,
1.5,1.007,210,-0.221599,23,
1.5,1.007,225,-0.0883988,22,
1.5,1.007,240,-0.227068,17,
1.5,1.008,30,-0.306681,38,
1.5,1.008,45,-0.309623,36,
1.5,1.008,60,-0.293467,38,
1.5,1.008,75,-0.246659,32,
1.5,1.008,90,-0.26955,30,
1.5,1.008,105,-0.309979,25,
1.5,1.008,120,-0.302037,27,
1.5,1.008,135,-0.244855,17,
1.5,1.008,150,-0.132895,20,
1.5,1.008,165,-0.242706,13,
1.5,1.008,180,-0.253824,19,
1.5,1.008,195,-0.24459,21,
1.5,1.008,210,-0.215276,21,
1.5,1.008,225,-0.0782357,22,
1.5,1.008,240,-0.226797,17,
1.5,1.009,30,-0.303896,38,
1.5,1.009,45,-0.306193,34,
1.5,1.009,60,-0.291978,36,
1.5,1.009,75,-0.240934,28,
1.5,1.009,90,-0.266708,28,
1.5,1.009,105,-0.308239,23,
1.5,1.009,120,-0.300383,21,
1.5,1.009,135,-0.243228,15,
1.5,1.009,150,-0.129197,16,
1.5,1.009,165,-0.239925,11,
1.5,1.009,180,-0.24902,17,
1.5,1.009,195,-0.243554,19,
1.5,1.009,210,-0.21354,17,
1.5,1.009,225,-0.0722006,20,
1.5,1.009,240,-0.225839,15,
1.5,1.01,30,-0.303995,36,
1.5,1.01,45,-0.304688,32,
1.5,1.01,60,-0.292334,32,
1.5,1.01,75,-0.241642,26,
1.5,1.01,90,-0.265935,24,
1.5,1.01,105,-0.307376,21,
1.5,1.01,120,-0.296203,21,
1.5,1.01,135,-0.237914,13,
1.5,1.01,150,-0.128111,14,
1.5,1.01,165,-0.235651,11,
1.5,1.01,180,-0.249158,15,
1.5,1.01,195,-0.243623,17,
1.5,1.01,210,-0.21146,15,
1.5,1.01,225,-0.0693982,16,
1.5,1.01,240,-0.222598,13,
1.5,1.011,30,-0.303995,36,
1.5,1.011,45,-0.304688,32,
1.5,1.011,60,-0.291865,32,
1.5,1.011,75,-0.241642,26,
1.5,1.011,90,-0.265935,24,
1.5,1.011,105,-0.307376,21,
1.5,1.011,120,-0.296203,21,
1.5,1.011,135,-0.237914,13,
1.5,1.011,150,-0.123889,14,
1.5,1.011,165,-0.235651,11,
1.5,1.011,180,-0.249158,15,
1.5,1.011,195,-0.245041,17,
1.5,1.011,210,-0.21146,15,
1.5,1.011,225,-0.0693982,16,
1.5,1.011,240,-0.222598,13,
1.5,1.012,30,-0.302083,36,
1.5,1.012,45,-0.3039,30,
1.5,1.012,60,-0.286375,30,
1.5,1.012,75,-0.239758,26,
1.5,1.012,90,-0.264112,24,
1.5,1.012,105,-0.307376,21,
1.5,1.012,120,-0.293211,19,
1.5,1.012,135,-0.237914,13,
1.5,1.012,150,-0.123889,14,
1.5,1.012,165,-0.235651,11,
1.5,1.012,180,-0.2483,15,
1.5,1.012,195,-0.239414,17,
1.5,1.012,210,-0.207929,15,
1.5,1.012,225,-0.0623228,14,
1.5,1.012,240,-0.219885,11,
1.5,1.013,30,-0.298053,34,
1.5,1.013,45,-0.30217,30,
1.5,1.013,60,-0.286375,30,
1.5,1.013,75,-0.239758,26,
1.5,1.013,90,-0.264112,24,
1.5,1.013,105,-0.305656,21,
1.5,1.013,120,-0.293211,19,
1.5,1.013,135,-0.235148,13,
1.5,1.013,150,-0.121713,14,
1.5,1.013,165,-0.231368,11,
1.5,1.013,180,-0.245795,13,
1.5,1.013,195,-0.236805,17,
1.5,1.013,210,-0.206387,15,
1.5,1.013,225,-0.0642877,14,
1.5,1.013,240,-0.219845,11,
1.5,1.014,30,-0.298053,34,
1.5,1.014,45,-0.30217,30,
1.5,1.014,60,-0.286375,30,
1.5,1.014,75,-0.239758,26,
1.5,1.014,90,-0.264112,24,
1.5,1.014,105,-0.303509,19,
1.5,1.014,120,-0.293211,19,
1.5,1.014,135,-0.234501,11,
1.5,1.014,150,-0.119966,12,
1.5,1.014,165,-0.231368,11,
1.5,1.014,180,-0.245795,13,
1.5,1.014,195,-0.237079,17,
1.5,1.014,210,-0.20507,15,
1.5,1.014,225,-0.0627355,14,
1.5,1.014,240,-0.219845,11,
1.5,1.015,30,-0.297241,34,
1.5,1.015,45,-0.301363,30,
1.5,1.015,60,-0.281272,30,
1.5,1.015,75,-0.234005,26,
1.5,1.015,90,-0.258543,24,
1.5,1.015,105,-0.302704,19,
1.5,1.015,120,-0.295595,17,
1.5,1.015,135,-0.233616,11,
1.5,1.015,150,-0.118948,12,
1.5,1.015,165,-0.230479,11,
1.5,1.015,180,-0.244923,13,
1.5,1.015,195,-0.232298,15,
1.5,1.015,210,-0.202568,13,
1.5,1.015,225,-0.060847,14,
1.5,1.015,240,-0.218088,11,
1.5,1.016,30,-0.294817,34,
1.5,1.016,45,-0.298954,30,
1.5,1.016,60,-0.283382,30,
1.5,1.016,75,-0.235595,26,
1.5,1.016,90,-0.260082,24,
1.5,1.016,105,-0.300299,19,
1.5,1.016,120,-0.29443,17,
1.5,1.016,135,-0.231493,11,
1.5,1.016,150,-0.115909,12,
1.5,1.016,165,-0.227825,11,
1.5,1.016,180,-0.242319,13,
1.5,1.016,195,-0.22862,15,
1.5,1.016,210,-0.202407,13,
1.5,1.016,225,-0.066028,14,
1.5,1.016,240,-0.214342,11,
1.5,1.017,30,-0.292522,30,
1.5,1.017,45,-0.298349,30,
1.5,1.017,60,-0.287605,28,
